Date,Population (000s),New arrivals (immigrants) Nos.,Employed - full-time Persons ('000),Employed - Total Persons ('000),Unemployed - looking for full-time work Persons ('000),Unemployment (% ),NAB Business Conditions,NAB Business Confidence,Gross disposable household income (AUD bn),Avg. weekly Earnings; Persons; Full Time; Adult; Ordinary time earnings (AUD),Purchase of vehicles: Chain volume measures (AUD bn),Rent and other dwelling services: Chain volume measures (AUD bn),Recreation and culture: Chain volume measures (AUD bn),Food: Chain volume measures (AUD bn),Final Consumption Expenduture: Chain volume measures (AUD bn),Total Liabilities (including share capital) (AUD bn) ,Total Liabilities - Loans and placements (AUD bn),Interest Rates (%),Total New Vehicle Sales (000),New Motor Cars and station wagons Personal Finance (AUD bn),Used Motor Cars and station wagons (AUD bn),Aust. Passenger vehicles nos.,Aust. Sports utility vehicles nos. ,Average Age of Motor Vehicles (years),Oil Prices (USD / bbl),AUDUSD,AUDJPY,AUDEUR,Trade Weighted Index
1/01/98,0.001123717,0.057057057,-0.011480322,0.001466633,0.094799349,-0.005269282,-2.906150187,-0.387781991,0.002766338,0.001691809,0.014720773,0.003047779,0.001002195,0.001516475,0.003215429,0.004813806,0.010503369,0,0.000108616,-0.119830382,-0.033821521,-0.237048982,-0.108008214,1.75E-05,-0.024376417,0.025432818,0.00601486,,0.065404475
1/02/98,0.001122456,-0.123579545,-0.000798126,0.001253722,0.005923883,-0.00252327,-0.36127713,0.434722631,0.002766339,0.004785362,0.014720773,0.003047779,0.001002195,0.001516475,0.003215429,0.004790744,0.010394195,0,0.004732057,0.009615307,-0.001208427,0.209062087,0.040515654,1.75E-05,-0.102847182,0.007769311,0.006447831,,-0.021001616
1/03/98,0.001121197,0.037277147,-0.003991262,0.001208301,-0.046114653,0.000538832,-2.924251361,0.140075807,0.002766339,0.004762572,0.014720773,0.003047779,0.001002195,0.001516475,0.003215428,0.004767902,0.010287267,0,0.013542519,0.13587059,0.037458931,0.07342176,0.243657817,1.75E-05,0.011010363,-0.016456635,0.023529412,,-0.01650165
1/04/98,0.000631762,0.0015625,0.002676733,0.001345796,-0.080663395,0.003436699,-2.179587593,-0.563400148,0.003379784,0.004739997,0.012214018,0.00296478,0.00305418,-0.001877232,0.004314117,0.012534694,0.010278578,0,0.020293741,-0.136591824,-0.073441637,-0.123445229,-0.097841556,1.75E-05,-0.01409353,-0.020349714,-0.023329919,,-0.026845638
1/05/98,0.000631363,-0.03900156,-0.007055692,0.001625104,0.043416083,0.004197774,-1.397476805,-0.499545991,0.003379784,0.002497572,0.012214018,0.00296478,0.00305418,-0.001877232,0.004314117,0.012379521,0.010174004,0,0.018381914,0.033372995,0.004967014,0.102487285,0.077034311,1.75E-05,-0.012345679,-0.040467764,0.007224423,,-0.00862069
1/06/98,0.000630964,0.137987013,0.003286685,0.001882128,-0.015384141,0.00096489,2.090740148,-1.038746772,0.003379783,0.002491349,0.012214018,0.00296478,0.00305418,-0.001877232,0.004314117,0.012228142,0.010071536,0,0.012023637,0.26747807,0.066848742,0.326508257,0.331258391,1.75E-05,-0.067105263,-0.01619628,-0.003239241,,0.006956522
1/07/98,0.000910022,0.059914408,0.015368248,0.001911474,-0.011581185,-0.004756375,-0.874571556,12.96716898,0.002547803,0.002485158,0.005812105,0.002742819,0.006958849,-0.00133097,0.005474484,0.005349901,0.007268661,0,0.003926455,-0.034217731,-0.017023225,-0.146239599,-0.326304208,1.75E-05,0.002115656,-0.003585982,0.020078923,,-0.010362694
1/08/98,0.000909195,-0.065948856,-0.016998217,0.001850371,-0.014920468,-0.01157168,0.897370209,0.300318036,0.002547802,0.004085755,0.005812105,0.002742819,0.006958849,-0.00133097,0.005474483,0.005321431,0.007216209,0,-0.003781209,-0.142748166,-0.069398184,-0.105816268,0.003538378,1.75E-05,-0.06122449,-0.069033208,-0.081920583,,-0.068062827
1/09/98,0.000908369,-0.037463977,0.01987249,0.001592617,0.022818532,-0.016907255,-0.245349734,-2.288632415,0.002547802,0.004069129,0.005812104,0.002742819,0.006958849,-0.00133097,0.005474483,0.005293264,0.007164508,0,-0.011676421,0.023803958,0.073802068,-0.03043225,0.076349336,1.75E-05,0.209895052,0.044631875,-0.001487173,,0.020599251
1/10/98,0.00084323,0.035928144,-0.00323533,0.001285837,-0.113131671,-0.020264217,-2.536405119,3.943357257,0.002738955,0.004052639,0.000649018,0.002773315,0.006919253,-2.33E-05,0.005148897,0.010870488,0.011126311,0,-0.015302981,-0.024535855,-0.040816196,0.036600802,-0.059720297,1.75E-05,-0.106567534,0.053490328,-0.102147201,,-0.005504587
1/11/98,0.00084252,-0.053468208,-0.005761936,0.00107779,0.041901297,-0.020763455,0.009096541,-0.185187947,0.002738955,0.002086168,0.000649017,0.002773315,0.006919253,-2.33E-05,0.005148897,0.010753591,0.011003878,0,-0.012355235,0.008427125,-0.027006063,0.026781464,0.213051052,1.75E-05,-0.221914008,0.009580073,0.081006359,,0.025830258
1/12/98,0.000841811,0.126717557,0.021554348,0.000881703,-0.000697755,-0.018061495,0.072279257,0.844795742,0.002738955,0.002081825,0.000649018,0.002773315,0.006919253,-2.33E-05,0.005148897,0.010639182,0.010884111,-0.05,-0.006676916,0.031056831,0.010530922,0.043014654,-0.01237159,1.75E-05,0.073975045,-0.029100111,-0.098337596,,-0.04676259
